Frame 93: red, (671.5177612304688, 352.0303649902344), (785.5612182617188, 468.6734924316406)
Frame 96: red, (672.15625, 348.7532043457031), (786.27783203125, 468.5946350097656)
Frame 96: red, (673.70751953125, 294.8538818359375), (787.8408203125, 478.852783203125)
Frame 99: red, (670.464599609375, 308.27349853515625), (786.505859375, 488.13568115234375)
Frame 99: red, (671.5384521484375, 351.915283203125), (786.3992919921875, 469.26971435546875)
Frame 102: red, (671.7759399414062, 349.9573059082031), (786.7034301757812, 468.6703796386719)
Frame 102: red, (671.00634765625, 317.3210144042969), (786.3043212890625, 486.4759826660156)
Frame 105: red, (671.8028564453125, 352.26214599609375), (785.8153076171875, 468.3145751953125)
Frame 108: red, (671.955322265625, 356.868896484375), (784.7576904296875, 468.19091796875)
Frame 111: red, (672.0526123046875, 355.56976318359375), (785.3763427734375, 467.95684814453125)
Frame 114: red, (671.893310546875, 355.1241760253906), (785.482666015625, 467.8974304199219)
Frame 117: red, (671.6019287109375, 355.627685546875), (784.4190673828125, 467.2061767578125)
Frame 120: red, (671.4234619140625, 355.261962890625), (784.741455078125, 467.2894287109375)
Frame 123: red, (672.1180419921875, 355.74908447265625), (784.0023193359375, 466.35479736328125)
Frame 126: red, (673.137451171875, 353.921875), (783.801025390625, 465.784912109375)
Frame 129: red, (672.8739013671875, 352.941162109375), (784.3905029296875, 466.318115234375)
Frame 132: red, (672.5711059570312, 351.65997314453125), (785.2649536132812, 466.76470947265625)
Frame 135: red, (672.7579345703125, 351.2374267578125), (784.7003173828125, 466.3267822265625)
Frame 138: red, (672.6668701171875, 348.86956787109375), (784.6787109375, 466.46405029296875)
Frame 141: red, (672.431396484375, 349.32635498046875), (784.869140625, 467.22186279296875)
Frame 144: red, (672.3997802734375, 348.52484130859375), (785.0521240234375, 467.77874755859375)
Frame 147: red, (673.0181884765625, 347.11431884765625), (784.8837890625, 467.4222412109375)
Frame 150: red, (671.564697265625, 345.0201416015625), (785.881591796875, 468.865478515625)
Frame 153: red, (672.1756591796875, 346.0352783203125), (785.9034423828125, 469.027099609375)
Frame 153: red, (671.1409912109375, 314.86181640625), (787.2996826171875, 490.26422119140625)
Frame 156: red, (673.012939453125, 346.96282958984375), (785.478759765625, 468.25823974609375)
Frame 156: red, (673.67431640625, 306.22283935546875), (787.337646484375, 478.92669677734375)
Frame 159: red, (673.120361328125, 344.275146484375), (784.970458984375, 467.613037109375)
Frame 162: red, (672.5916748046875, 342.2236328125), (784.8394775390625, 467.80517578125)
Frame 165: red, (673.3935546875, 340.2210693359375), (784.485595703125, 466.62646484375)
Frame 168: red, (673.3956298828125, 338.2991943359375), (785.2147216796875, 467.4371337890625)
Frame 168: red, (673.2666015625, 292.81561279296875), (786.814453125, 476.88031005859375)
Frame 171: red, (673.0562744140625, 338.95513916015625), (785.24853515625, 467.64471435546875)
Frame 174: red, (673.1862182617188, 339.6343994140625), (785.3259887695312, 468.34521484375)
Frame 174: red, (673.2486572265625, 294.75152587890625), (786.7020263671875, 477.82318115234375)
Frame 177: red, (672.8690185546875, 338.671875), (785.886962890625, 468.0738525390625)
Frame 180: red, (672.566650390625, 341.03717041015625), (785.451171875, 467.8203125)
Frame 183: red, (672.38037109375, 343.0815734863281), (785.461669921875, 467.6289367675781)
Frame 186: red, (672.0142822265625, 345.8074645996094), (784.8270263671875, 467.4827575683594)
Frame 189: red, (671.56396484375, 346.8489990234375), (784.3837890625, 467.217041015625)
Frame 192: red, (672.033203125, 348.74896240234375), (784.2327880859375, 467.0673828125)
Frame 195: red, (671.427978515625, 350.13909912109375), (784.55029296875, 468.453369140625)
Frame 198: red, (670.5404663085938, 347.78485107421875), (784.9210815429688, 468.560302734375)
Frame 201: red, (669.7127685546875, 351.3490905761719), (784.2742919921875, 468.6041564941406)
Frame 204: red, (670.3814697265625, 349.05755615234375), (786.1153564453125, 470.424072265625)
Frame 207: red, (670.4512939453125, 346.7957763671875), (786.3955078125, 470.2503662109375)
Frame 210: red, (669.8585205078125, 349.84490966796875), (783.6563720703125, 467.86199951171875)
Frame 213: red, (670.0396728515625, 350.0374755859375), (784.244140625, 467.73406982421875)
Frame 216: red, (670.1580200195312, 350.1239013671875), (784.4334106445312, 467.95660400390625)
Frame 219: red, (669.9156494140625, 349.24322509765625), (785.5950927734375, 468.34088134765625)
Frame 222: red, (669.4728393554688, 347.595703125), (786.9180297851562, 469.14678955078125)
Frame 225: red, (669.2858276367188, 345.91796875), (787.5302124023438, 469.6048583984375)
Frame 228: red, (668.8505859375, 346.4110107421875), (787.74560546875, 469.8154296875)
Frame 231: red, (668.9283447265625, 345.2303466796875), (787.7239990234375, 469.8477783203125)
Frame 234: red, (669.0449829101562, 346.8065185546875), (787.4054565429688, 470.271728515625)
Frame 237: red, (669.7982177734375, 345.4164123535156), (787.8450927734375, 470.1085510253906)
Frame 240: red, (669.92919921875, 346.9866943359375), (787.244873046875, 470.083984375)
Frame 243: red, (671.6863403320312, 348.17596435546875), (786.3945922851562, 468.9683837890625)
Frame 258: blue, (422.5379638671875, 523.1074829101562), (482.36480712890625, 610.3377075195312)
Frame 258: red, (682.19482421875, 153.0164031982422), (775.3544921875, 334.92266845703125)
Frame 258: blue, (875.2330322265625, 552.8096923828125), (917.079345703125, 596.5606689453125)
Frame 261: red, (683.2957763671875, 223.97250366210938), (774.5367431640625, 314.3688659667969)
Frame 261: blue, (482.0649719238281, 237.29901123046875), (564.285888671875, 311.55072021484375)
Frame 261: red, (477.05181884765625, 241.2752685546875), (561.4037475585938, 313.6785888671875)
Frame 261: blue, (701.7818603515625, 577.384521484375), (794.8240966796875, 685.897216796875)
Frame 261: blue, (495.0813903808594, 202.8843994140625), (571.6649169921875, 270.6480712890625)
Frame 264: red, (468.86505126953125, 246.15463256835938), (554.6754150390625, 337.5199279785156)
Frame 264: red, (688.09765625, 225.80023193359375), (775.0098876953125, 313.86114501953125)
Frame 264: blue, (497.53790283203125, 198.72726440429688), (571.8186645507812, 264.65850830078125)
Frame 267: red, (462.01312255859375, 246.20208740234375), (543.7232055664062, 336.38104248046875)
Frame 267: red, (693.0126342773438, 229.1475067138672), (779.9728393554688, 313.11871337890625)
Frame 267: blue, (499.02386474609375, 200.78829956054688), (563.3701782226562, 264.5168762207031)
Frame 270: blue, (488.0174560546875, 198.01712036132812), (558.9461669921875, 264.74761962890625)
